preco,condominio,IPTU,metros_quadrados,quartos,banheiros,vagas,endereco
2950000,NA,NA,539,4 ,5 ,3 - 5 ,"Rua José Maria Rodrigues, Barra da Tijuca"
Sob consulta,NA,NA,44,2 ,1 ,2 ,"Rodovia Vereador Abel Fabricio Dias, Loteamento Industrial Agua Preta"
Sob consulta,NA,NA,117,3 ,2 ,2 ,"Estrada Municipal Antonio Marçom, Nossa Senhora do Perpétuo Socorro"
8000000,1900,20000,1000,4 ,6 ,4 ,"Itanhangá, Rio de Janeiro"
3200000,NA,14427,633,6 ,7 ,6 ,"Cosme Velho, Rio de Janeiro"
1600000,890,400,300,4 ,6 ,4 ,"Avenida das Américas, Recreio Dos Bandeirantes"
1500000,60000,NA,270,5 ,7 ,4 ,"Rua Lagoa Bonita, Vargem Grande"
1150000,NA,3700,330,7 ,8 ,8 ,"Rua Bom Retiro, Jardim Guanabara"
220000,NA,NA,66,2 ,2 ,2 ,"Rua Seabra Filho, Inhoaíba"
1350000,NA,NA,240,6 ,3 ,1 ,"Rua Oliveira da Silva, Tijuca"
1192990,550,NA,180,4 ,5 ,2 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
220000,NA,698,120,4 ,3 ,1 ,"Campo Grande, Rio de Janeiro"
355000,100,NA,128,2 ,2 ,3 ,"Rua Jacinto Figueira Júnior, Campo Grande"
2980000,NA,NA,220,4 ,4 ,2 ,"Urca, Rio de Janeiro"
640000,150,NA,450,3 ,4 ,2 ,"Avenida Tenente-Coronel Muniz de Aragão, Anil"
1100000,840,3843,600,6 ,8 ,4 ,"Rua Professor Sílvio Fialho, Anil"
1300000,1000,NA,220,4 ,4 ,2 ,"Avenida Miguel Antônio Fernandes, Recreio Dos Bandeirantes"
1500000,1400,500,300,5 ,5 ,4 ,"Avenida das Américas, Barra da Tijuca"
949990,550,NA,220,5 ,6 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
350000,NA,2450,400,4 ,4 ,3 ,"Rua Sambaetiba, Padre Miguel"
2400000,1500,800,320,4 ,6 ,2 ,"Rua Abel da Silva, Barra da Tijuca"
1650000,450,300,292,5 ,7 ,3 ,"Rua Ituverava, Anil"
949990,550,NA,220,5 ,5 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
176000,NA,NA,70,2 ,2 ,2 ,"Avenida Cesário de Melo, Campo Grande"
2950000,NA,NA,539,4 ,5 ,3 - 5 ,"Rua José Maria Rodrigues, Barra da Tijuca"
Sob consulta,NA,NA,44,2 ,1 ,2 ,"Rodovia Vereador Abel Fabricio Dias, Loteamento Industrial Agua Preta"
Sob consulta,NA,NA,117,3 ,2 ,2 ,"Estrada Municipal Antonio Marçom, Nossa Senhora do Perpétuo Socorro"
90000,NA,NA,200,2 ,1 ,NA,"Estrada Santa Maria, Campo Grande"
2350000,NA,NA,479,6 ,4 ,3 ,"Laranjeiras, Rio de Janeiro"
2500000,NA,438,215,5 ,3 ,NA,"Laranjeiras, Rio de Janeiro"
1500000,60000,NA,270,5 ,7 ,4 ,"Rua Lagoa Bonita, Vargem Grande"
1150000,NA,3700,330,7 ,8 ,8 ,"Rua Bom Retiro, Jardim Guanabara"
220000,NA,NA,66,2 ,2 ,2 ,"Rua Seabra Filho, Inhoaíba"
1350000,NA,NA,240,6 ,3 ,1 ,"Rua Oliveira da Silva, Tijuca"
1192990,550,NA,180,4 ,5 ,2 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
220000,NA,698,120,4 ,3 ,1 ,"Campo Grande, Rio de Janeiro"
355000,100,NA,128,2 ,2 ,3 ,"Rua Jacinto Figueira Júnior, Campo Grande"
2980000,NA,NA,220,4 ,4 ,2 ,"Urca, Rio de Janeiro"
640000,150,NA,450,3 ,4 ,2 ,"Avenida Tenente-Coronel Muniz de Aragão, Anil"
1100000,840,3843,600,6 ,8 ,4 ,"Rua Professor Sílvio Fialho, Anil"
1300000,1000,NA,220,4 ,4 ,2 ,"Avenida Miguel Antônio Fernandes, Recreio Dos Bandeirantes"
1500000,1400,500,300,5 ,5 ,4 ,"Avenida das Américas, Barra da Tijuca"
949990,550,NA,220,5 ,6 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
350000,NA,2450,400,4 ,4 ,3 ,"Rua Sambaetiba, Padre Miguel"
2400000,1500,800,320,4 ,6 ,2 ,"Rua Abel da Silva, Barra da Tijuca"
1650000,450,300,292,5 ,7 ,3 ,"Rua Ituverava, Anil"
949990,550,NA,220,5 ,5 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
176000,NA,NA,70,2 ,2 ,2 ,"Avenida Cesário de Melo, Campo Grande"
180000,NA,NA,57,2 ,1 ,2 ,"Avenida Benedita Martins Siqueira, Jardim Emília"
1580000,NA,NA,287,4 ,5 ,3 ,"Rua da Enseada, Morada da Praia"
850000,350,NA,240,4 ,5 ,3 ,"Rua Lagoa Bonita, Vargem Grande"
14000000,2000,2000,900,5 ,7 ,6 ,"Joá, Rio de Janeiro"
90000,NA,NA,200,2 ,1 ,NA,"Estrada Santa Maria, Campo Grande"
640000,NA,1626,220,4 ,4 ,8 ,"Rua Arriba, Jardim Guanabara"
4400000,NA,7052,419,5 ,9 ,3 ,"Estrada da Canoa, São Conrado"
1950000,800,580,513,4 ,6 ,2 ,"Estrada do Bananal, Freguesia- Jacarepaguá"
360000,NA,NA,90,3 ,4 ,2 ,"Campo Grande, Rio de Janeiro"
1199990,550,NA,167,5 ,6 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
372000,350,360,170,3 ,3 ,5 ,"Rua Célio Fernandes dos Santos Silva, Vargem Pequena"
1300000,900,410,310,4 ,5 ,2 ,"Rua Francisco Mangabeira, Itanhangá"
200000,NA,NA,127,2 ,2 ,1 ,"Quintino Bocaiúva, Rio de Janeiro"
1149200,1520,465,276,4 ,7 ,2 ,"Rua Marcos Paulo, Recreio Dos Bandeirantes"
176000,NA,NA,66,2 ,1 ,NA,"Rua Arapacu, Inhoaíba"
300000,NA,NA,184,2 ,3 ,2 ,"Rua Adjar de Azevedo, Parque Anchieta"
90000,NA,NA,98,3 ,2 ,NA,"Rua Utupeva, Quintino Bocaiúva"
197500,NA,NA,75,2 ,2 ,2 ,"Rua Surucua, Campo Grande"
1149100,1525,465,276,4 ,7 ,2 ,"Rua Marcos Paulo, Recreio Dos Bandeirantes"
2950000,1600,993,487,5 ,7 ,NA,"Rua Senador Generoso Ponce, Barra da Tijuca"
680000,300,NA,200,4 ,5 ,2 ,"Estrada Professor Brant Hora, Guaratiba"
268000,150,100,91,3 ,3 ,1 ,"Rua Henriqueta, Pechincha"
250000,NA,30,150,2 ,2 ,2 ,"Rua Vinte e Seis, Guaratiba"
550000,NA,727,168,3 ,4 ,4 ,"Rua Horácio Wells, Irajá"
330000,NA,250,265,5 ,4 ,1 ,"Engenho De Dentro, Rio de Janeiro"
1470000,1650,5900,240,5 ,6 ,3 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
770000,NA,262,347,4 ,1 ,NA,"Estrada da Fontinha, Bento Ribeiro"
700000,650,70,240,4 ,5 ,2 ,"Rua Doutor Crespo, Recreio Dos Bandeirantes"
1499999,NA,NA,550,5 ,4 ,12 ,"Rua Padre André Moreira, Méier"
160000,NA,NA,70,2 ,2 ,2 ,"Estrada da Paciência, Cosmos"
12000000,1,27465,1000,4 ,8 ,6 ,"Rua Capitão Jomar Bretas, Barra da Tijuca"
890000,900,425,178,3 ,4 ,2 ,"Avenida Guilherme de Almeida, Recreio Dos Bandeirantes"
219900,180,30,59,2 ,2 ,2 ,"Rua Itaunas, Campo Grande"
1600000,450,NA,200,5 ,6 ,1 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
3600000,1700,720,480,5 ,6 ,3 ,"Rua Engenheiro Pires do Rio, Itanhangá"
1150000,1525,465,276,4 ,7 ,2 ,"Rua Marcos Paulo, Recreio Dos Bandeirantes"
330000,NA,NA,11,3 ,1 ,3 ,"Campo Grande, Rio de Janeiro"
1150000,NA,NA,200,4 ,6 ,4 ,"Rua Araguaia, Freguesia- Jacarepaguá"
1100000,1100,380,197,4 ,5 ,2 ,"Avenida Miguel Antônio Fernandes, Recreio Dos Bandeirantes"
2490000,1300,1000,449,5 ,5 ,8 ,"Rua Josué de Castro, Barra da Tijuca"
1190000,1400,1900,290,4 ,6 ,3 ,"Rua José Mindlin, Recreio Dos Bandeirantes"
1490000,1300,300,200,3 ,4 ,3 ,"Avenida Célia Ribeiro da Silva Mendes, Recreio Dos Bandeirantes"
1149000,1525,465,276,4 ,7 ,2 ,"Rua Marcos Paulo, Recreio Dos Bandeirantes"
273000,100,300,120,3 ,3 ,NA,"Estrada Mapua, Taquara"
1149300,1524,465,276,4 ,7 ,2 ,"Rua Marcos Paulo, Recreio Dos Bandeirantes"
530000,30,NA,210,4 ,2 ,1 ,"Rua Barão de Cotegipe, Tijuca"
290000,NA,NA,222,2 ,2 ,3 ,"Estrada Capitão Campos, Alto da Boa Vista"
4800000,NA,10760,700,4 ,8 ,3 ,"Rua Frei Tomás, São Conrado"
1575000,600,NA,320,5 ,11 ,3 ,"Vargem Pequena, Rio de Janeiro"
2300000,950,400,318,4 ,4 ,4 ,"Rua Deputado Átila Nunes, Recreio Dos Bandeirantes"
1800000,1000,645,310,5 ,4 ,NA,"Rua Arthur Bernardes Filho, Barra da Tijuca"
10500000,1900,24240,750,4 ,10 ,4 ,"Rua Lourenço Filho, Barra da Tijuca"
209000,NA,NA,75,2 ,2 ,1 ,"Rua Engenheiro Armando Carneiro Monteiro, Cosmos"
2350000,840,861,305,5 ,6 ,3 ,"Rua Agapito Landeira, Barra da Tijuca"
430000,NA,NA,180,3 ,3 ,3 ,"Rua Ari Lobo, Campo Grande"
560000,NA,2030,182,3 ,1 ,4 ,"Bancários, Rio de Janeiro"
300000,NA,NA,223,3 ,2 ,1 ,"Estrada Capitão Campos, Alto da Boa Vista"
290000,NA,NA,68,2 ,2 ,2 ,"Campo Grande, Rio de Janeiro"
85000,NA,NA,70,2 ,2 ,NA,"Rua Coronel Genserico de Vasconcelos, Engenho Novo"
320000,150,NA,103,2 ,4 ,2 ,"Estrada dos Caboclos, Campo Grande"
580000,NA,NA,190,3 ,3 ,3 ,"Rua Pedro Mota Lima, Campo Grande"
150000,280,NA,50,2 ,1 ,1 ,"Avenida de Santa Cruz, Senador Vasconcelos"
400000,20,NA,170,4 ,3 ,5 ,"Rua Mercedes Coelho, Santa Cruz"
730000,45,2052000,144,3 ,4 ,1 ,"Rua Dona Maria, Tijuca"
2100000,900,573,322,4 ,7 ,4 ,"Rua Armando Santos, Recreio Dos Bandeirantes"
2250000,680,5850,700,3 ,8 ,4 ,"Estrada Doutor Azeredo Lópes, Freguesia- Jacarepaguá"
1050000,1000,137,259,3 ,2 ,3 ,"Rua Doutor Crespo, Recreio Dos Bandeirantes"
249000,NA,NA,80,2 ,2 ,NA,"Rua Doutor Bulhões, Rio de Janeiro"
2900000,1850,NA,280,4 ,3 ,4 ,"Rua Doutor Luís Capriglione, Itanhangá"
1320000,1300,NA,307,4 ,5 ,4 ,"Rua João Coelho Branco, Itanhangá"
1260000,NA,2349,289,4 ,2 ,4 ,"Grajaú, Rio de Janeiro"
280000,285,NA,120,3 ,4 ,2 ,"Rua Virgínia Vidal, Tanque"
4900000,NA,12213,908,5 ,6 ,5 ,"Rua Erere, Cosme Velho"
7300000,2400,1400,800,5 ,5 ,4 ,"Rua Floriano Fontoura, Barra da Tijuca"
2200000,1230,1109,470,5 ,5 ,5 ,"Barra da Tijuca, Rio de Janeiro"
2900000,1850,NA,280,4 ,3 ,4 ,"Rua Doutor Luís Capriglione, Itanhangá"
1320000,1300,NA,307,4 ,5 ,4 ,"Rua João Coelho Branco, Itanhangá"
1260000,NA,2349,289,4 ,2 ,4 ,"Grajaú, Rio de Janeiro"
280000,285,NA,120,3 ,4 ,2 ,"Rua Virgínia Vidal, Tanque"
400000,NA,150,168,4 ,5 ,NA,"Rua Vinte e Quatro de Maio, Méier"
220000,NA,NA,110,3 ,3 ,3 ,"Rua Paulo da Silva, Bangu"
598000,NA,NA,186,4 ,4 ,2 ,"Travessa Matilde, Tijuca"
210000,NA,NA,68,2 ,1 ,2 ,"Rua Mariquita, Guaratiba"
249000,NA,498,127,3 ,3 ,2 ,"Rua Piraquê, Madureira"
2430000,1250,885,420,4 ,4 ,2 ,"Rua Dom Francisco, Barra da Tijuca"
240000,NA,NA,72,2 ,2 ,2 ,"Rua Cento e Trinta e Quatro,  Pedra de Guaratiba"
400000,150,180,89,3 ,4 ,2 ,"Rua Macedo Coimbra, Campo Grande"
580000,20,1308,79,2 ,2 ,NA,"Rua Álvaro Ramos, Botafogo"
840000,972,399,177,3 ,4 ,2 ,"Praça Restier Gonçalves, Recreio Dos Bandeirantes"
280000,NA,NA,120,3 ,2 ,2 ,"Campo Grande, Rio de Janeiro"
340000,NA,340,100,3 ,3 ,2 ,"Rua Cento e Quarenta, Guaratiba"
2591000,1220,757,405,4 ,7 ,4 ,"Barra da Tijuca, Rio de Janeiro"
2200000,1710,1000,444,5 ,5 ,2 ,"Rua Jaguaretama, Itanhangá"
390000,NA,60,250,4 ,4 ,3 ,"Rua Massenet, Marechal Hermes"
350000,NA,1291,218,5 ,3 ,3 ,"Rua Conde Pereira Carneiro, Penha Circular"
400000,20,20,94,3 ,3 ,2 ,"Estrada Cachamorra, Campo Grande"
850000,350,NA,240,4 ,5 ,3 ,"Rua Lagoa Bonita, Vargem Grande"
1880000,887,4670,217,4 ,6 ,2 ,"Rua Líbero Rossi, Recreio Dos Bandeirantes"
2850000,NA,8500,760,5 ,6 ,10 ,"Rua Cairucu, Jacarepaguá"
265000,NA,NA,102,2 ,3 ,1 ,"Rua Ivo Baptista Suzano, Campo Grande"
350000,NA,60,134,3 ,3 ,2 ,"Rua Iriju, Taquara"
370000,NA,110,200,3 ,3 ,2 ,"Estrada do Guerengue, Jacarepaguá"
320000,NA,1230,188,3 ,4 ,2 ,"Rua Paturi, Tanque"
340000,NA,100,160,3 ,1 ,2 ,"Rua Onça de Pitangui, Campo Grande"
275000,NA,300,75,3 ,2 ,2 ,"Rua Hilton Gomes,  Pedra de Guaratiba"
3800000,2100,18035,560,4 ,7 ,7 ,"Avenida Rosalina Coelho Lisboa, Barra da Tijuca"
270000,NA,NA,74,2 ,2 ,1 ,"Rua Guilherme Veloso, Praça Seca"
1800000,1600,560,279,4 ,5 ,2 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
270000,NA,NA,116,3 ,4 ,3 ,"Madureira, Rio de Janeiro"
450000,810,1200,120,3 ,4 ,3 ,"Estrada do Gabinal, Freguesia- Jacarepaguá"
180000,NA,NA,80,2 ,2 ,2 ,"Santa Cruz, Rio de Janeiro"
300000,110,NA,86,1 ,2 ,1 ,"Rua Enéias Galvão, Méier"
85000,NA,NA,78,2 ,1 ,NA,"Rua Inhare, Cascadura"
3600000,2483,22469,654,5 ,7 ,2 ,"Rua Carlos Niemeyer, Barra da Tijuca"
1600000,650,6424,707,4 ,3 ,4 ,"Rua Lícia de Alvarenga, Freguesia- Jacarepaguá"
2690000,NA,800,402,4 ,8 ,3 ,"Avenida das Américas, Barra da Tijuca"
290000,NA,1914,160,2 ,2 ,3 ,"Rua Firmino Gameleira, Olaria"
235000,NA,NA,196,4 ,3 ,3 ,"Rua Irmã Maria Maurita, Guaratiba"
250000,NA,240,70,2 ,2 ,2 ,"Rua Donário José de Souza,  Pedra de Guaratiba"
599000,300,NA,180,2 ,2 ,3 ,"Estrada dos Bandeirantes, Vargem Pequena"
3800000,NA,NA,550,5 ,5 ,5 ,"Rua José de Brito, Barra da Tijuca"
2350000,NA,NA,479,6 ,4 ,3 ,"Laranjeiras, Rio de Janeiro"
880000,NA,NA,311,4 ,3 ,3 ,"Rua General Marques de Souza, Vila da Penha"
300000,110,NA,86,1 ,2 ,1 ,"Rua Enéias Galvão, Méier"
85000,NA,NA,78,2 ,1 ,NA,"Rua Inhare, Cascadura"
3600000,2483,22469,654,5 ,7 ,2 ,"Rua Carlos Niemeyer, Barra da Tijuca"
2500000,NA,537,192,6 ,2 ,3 ,"Rua dos Oitis, Gávea"
1600000,650,6424,707,4 ,3 ,4 ,"Rua Lícia de Alvarenga, Freguesia- Jacarepaguá"
230000,NA,NA,70,2 ,2 ,2 ,"Rua Trinta e Cinco,  Pedra de Guaratiba"
290000,NA,1914,160,2 ,2 ,3 ,"Rua Firmino Gameleira, Olaria"
235000,NA,NA,196,4 ,3 ,3 ,"Rua Irmã Maria Maurita, Guaratiba"
250000,NA,240,70,2 ,2 ,2 ,"Rua Donário José de Souza,  Pedra de Guaratiba"
599000,300,NA,180,2 ,2 ,3 ,"Estrada dos Bandeirantes, Vargem Pequena"
230000,NA,NA,180,3 ,2 ,3 ,"Rua Delfina Alves, Madureira"
350000,NA,400,120,3 ,3 ,2 ,"Rua Cento e Trinta e Três,  Pedra de Guaratiba"
595000,300,974,160,4 ,3 ,1 ,"Rua Professor Valadares, Grajaú"
375000,NA,NA,160,3 ,4 ,4 ,"Rua Ambrozio Barboza da Silva, Campo Grande"
350000,NA,60,150,2 ,4 ,1 ,"Rua Dorival Ferreira, Campo Grande"
180000,NA,NA,60,2 ,2 ,1 ,"Avenida Mário Pedrosa, Campo Grande"
765500,NA,210,275,4 ,5 ,2 ,"Rua Santo Euquerio, Freguesia- Jacarepaguá"
100000,NA,NA,98,2 ,2 ,NA,"Travessa Igrapiuma, Rocha Miranda"
2500000,850,1000,340,4 ,5 ,3 ,"Rua Renata Fronzi, Barra da Tijuca"
370000,NA,400,125,3 ,3 ,2 ,"Rua Cento e Quarenta, Guaratiba"
250000,1,162,120,3 ,2 ,NA,"Rua Monsenhor Jerônimo, Engenho De Dentro"
1930000,1590,NA,235,4 ,5 ,2 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
1300000,NA,4114,309,5 ,3 ,5 ,"Rua Itabaiana, Grajaú"
1795000,850,50,430,4 ,4 ,2 ,"Estrada da Cachoeira, Vargem Grande"
370000,NA,400,125,3 ,3 ,2 ,"Rua Cento e Quarenta, Guaratiba"
250000,1,162,120,3 ,2 ,NA,"Rua Monsenhor Jerônimo, Engenho De Dentro"
570000,450,150,200,3 ,4 ,2 ,"Rua Edgard Werneck, Freguesia- Jacarepaguá"
1060000,1000,380,265,4 ,4 ,3 ,"Rua Doutor Crespo, Recreio Dos Bandeirantes"
220000,NA,NA,260,3 ,2 ,2 ,"Rua dos Contínuos, Campo Grande"
92000,NA,NA,70,2 ,1 ,2 ,"Rua Cipriano da Silva, Guaratiba"
200000,NA,NA,68,2 ,2 ,2 ,"Rua Simão Issac Benjó,  Pedra de Guaratiba"
2900000,1300,8500,450,3 ,7 ,5 ,"Rua José Leal da Silva, Barra da Tijuca"
218990,NA,NA,74,2 ,2 ,NA,"Estrada da Posse, Campo Grande"
390000,240,1350,235,3 ,3 ,2 ,"Rua Barra do Mendes, Anil"
298000,NA,NA,120,4 ,2 ,5 ,"Rua Idume, Braz de Pina"
850000,NA,142,300,2 ,2 ,2 ,"Rua Manhuaçu, Vargem Grande"
299000,480,20,120,3 ,3 ,2 ,"Rua Henriqueta, Tanque"
310000,NA,NA,240,2 ,1 ,2 ,"Rua Marambaia, Irajá"
290000,414,NA,93,2 ,1 ,2 ,"Estrada dos Bandeirantes, Vargem Pequena"
490000,200,75,200,3 ,3 ,2 ,"Estrada Rodrigues Caldas, Jacarepaguá"
100000,NA,NA,80,1 ,2 ,NA,"Rua Curitiba, Rio de Janeiro"
460000,NA,NA,160,3 ,2 ,2 ,"Rua Vergel, Campo Grande"
1050000,620,230,277,4 ,5 ,4 ,"Estrada do Sacarrão, Vargem Grande"
355000,NA,450,110,3 ,3 ,2 ,"Rua Juarez Getirana,  Pedra de Guaratiba"
1280000,1000,3100,238,3 ,3 ,1 ,"Estrada da Gávea Pequena, Alto da Boa Vista"
570000,NA,NA,116,3 ,2 ,NA,"Rua Luís Guimarães, Vila Isabel"
3000000,NA,4118,298,4 ,1 ,6 ,"Rua Professor Mauriti Santos, Santa Teresa"
1650000,NA,3800,370,5 ,4 ,4 ,"Avenida Edison Passos, Alto da Boa Vista"
580000,NA,600,120,3 ,2 ,1 ,"Rua Félicio dos Santos, Santa Teresa"
300000,NA,NA,145,3 ,3 ,4 ,"Rua Moacir Torres, Guaratiba"
249000,NA,NA,70,2 ,2 ,1 ,"Rua Simão Issac Benjó, Guaratiba"
279000,NA,NA,100,2 ,3 ,2 ,"Realengo, Rio de Janeiro"
360000,NA,726,185,3 ,3 ,3 ,"Rua Abel Ferreira, Campo Grande"
209000,NA,NA,80,2 ,2 ,1 ,"Rua Framboesa, Cosmos"
2150000,840,615,610,4 ,5 ,4 ,"Rua Professor Sílvio Fialho, Freguesia- Jacarepaguá"
250000,NA,NA,85,2 ,3 ,1 ,"Estrada do Mendanha, Campo Grande"
290000,400,16,89,2 ,2 ,1 ,"Vargem Pequena, Rio de Janeiro"
890000,NA,2717,196,4 ,4 ,1 ,"Rua Oliveira da Silva, Tijuca"
285000,NA,NA,84,2 ,2 ,2 ,"Rua Mariquita, Guaratiba"
320000,NA,NA,230,3 ,1 ,2 ,"Rua Herculano Pinheiro, Pavuna"
270000,NA,120,120,4 ,2 ,NA,"Rua Violante, Piedade"
120000,NA,NA,120,4 ,2 ,NA,"Rua Gentil de Almeida, Honório Gurgel"
290000,NA,NA,110,2 ,2 ,3 ,"Campo Grande, Rio de Janeiro"
150000,NA,NA,80,3 ,2 ,NA,"Rua Alphonsus de Guimarães, Irajá"
3999000,1500,2502,460,4 ,7 ,4 ,"Rua Rubem Braga, Barra da Tijuca"
280000,NA,NA,100,2 ,2 ,3 ,"Rua Beirute, Senador Camara"
318000,NA,800,200,4 ,2 ,1 ,"Rua Cadete Polônia, Sampaio"
750000,490,160,208,3 ,4 ,2 ,"Estrada do Bananal, Freguesia- Jacarepaguá"
198000,NA,NA,70,2 ,2 ,1 ,"Rua A, Paciência"
2450000,850,734,369,4 ,4 ,2 ,"Estrada do Pontal, Recreio Dos Bandeirantes"
1400000,1474,172,210,4 ,7 ,2 ,"Estrada dos Bandeirantes, Vargem Grande"
3200000,NA,14427,633,6 ,7 ,6 ,"Cosme Velho, Rio de Janeiro"
285000,NA,NA,84,2 ,2 ,2 ,"Rua Mariquita, Guaratiba"
320000,NA,NA,230,3 ,1 ,2 ,"Rua Herculano Pinheiro, Pavuna"
259900,NA,140,147,3 ,2 ,2 ,"Avenida Cesário de Melo, Campo Grande"
120000,NA,NA,120,4 ,2 ,NA,"Rua Gentil de Almeida, Honório Gurgel"
350000,NA,NA,300,2 ,2 ,3 ,"Rua Cristalina, Realengo"
150000,NA,NA,80,3 ,2 ,NA,"Rua Alphonsus de Guimarães, Irajá"
3999000,1500,2502,460,4 ,7 ,4 ,"Rua Rubem Braga, Barra da Tijuca"
280000,NA,NA,100,2 ,2 ,3 ,"Rua Beirute, Senador Camara"
318000,NA,800,200,4 ,2 ,1 ,"Rua Cadete Polônia, Sampaio"
750000,490,160,208,3 ,4 ,2 ,"Estrada do Bananal, Freguesia- Jacarepaguá"
198000,NA,NA,70,2 ,2 ,1 ,"Rua A, Paciência"
200000,NA,NA,100,4 ,2 ,2 ,"Rua Vaz Lobo, Vaz Lobo"
750000,420,1200,310,3 ,5 ,2 ,"Rua Professor Santos Moreira, Recreio Dos Bandeirantes"
250000,NA,NA,68,2 ,2 ,2 ,"Estrada da Ilha, Ilha de Guaratiba"
280000,20,20,91,3 ,2 ,1 ,"Rua Henriqueta, Tanque"
200000,NA,NA,70,2 ,2 ,2 ,"Rua Asa Branca, Campo Grande"
219000,1,1,107,2 ,3 ,2 ,"Estrada da Posse, Campo Grande"
199000,NA,NA,63,2 ,2 ,1 ,"Rua Simão Issac Benjó,  Pedra de Guaratiba"
200000,NA,NA,180,3 ,3 ,10 ,"Rua Júlio José, Campo Grande"
219000,425,60,85,2 ,3 ,1 ,"Estrada da Posse, Campo Grande"
279900,NA,350,90,3 ,2 ,2 ,"Rua Ferreira Chaves, Vila Kosmos"
1400000,NA,1100,120,4 ,1 ,1 ,"Rua Paulo Barreto, Botafogo"
3200000,NA,14427,633,6 ,7 ,6 ,"Cosme Velho, Rio de Janeiro"
850000,1084,3348,178,4 ,6 ,2 ,"Avenida Miguel Antônio Fernandes, Recreio Dos Bandeirantes"
279900,NA,350,90,3 ,2 ,2 ,"Rua Ferreira Chaves, Vila Kosmos"
499500,NA,719,158,2 ,2 ,4 ,"Rua Macaraú, Campo Grande"
2500000,NA,537,192,6 ,2 ,3 ,"Rua dos Oitis, Gávea"
1189888,210,316,260,3 ,6 ,1 ,"Estrada Pau-ferro, Freguesia- Jacarepaguá"
350000,NA,NA,155,3 ,3 ,4 ,"Estrada dos Palmares, Santa Cruz"
295000,NA,NA,92,2 ,3 ,2 ,"Rua José Maximiniano Neto, Campo Grande"
280000,360,NA,125,2 ,2 ,3 ,"Campo Grande, Rio de Janeiro"
320000,NA,NA,170,2 ,2 ,4 ,"Avenida Ministro Edgard Romero, Madureira"
300000,NA,NA,75,2 ,2 ,NA,"Rua Otawa, Vigário Geral"
315000,NA,NA,223,4 ,3 ,3 ,"Estrada Capitão Campos, Alto da Boa Vista"
280000,NA,NA,90,2 ,2 ,4 ,"Rua Cuzco, Campo Grande"
209900,NA,NA,79,2 ,2 ,1 ,"Rua Framboesa, Cosmos"
285000,NA,180,180,3 ,3 ,2 ,"Rua Monte Sião, Cidade De Deus"
280000,NA,NA,97,3 ,2 ,4 ,"Caminho do Morro dos Caboclos, Campo Grande"
1550000,701,708,282,6 ,8 ,4 ,"Rua Rivadavia Campos, Recreio Dos Bandeirantes"
219000,300,100,106,2 ,2 ,1 ,"Estrada da Posse, Campo Grande"
180000,NA,NA,67,2 ,3 ,1 ,"Rua Mano Décio da Viola, Madureira"
480000,650,NA,120,2 ,3 ,2 ,"Pechincha, Rio de Janeiro"
350000,NA,2200,132,2 ,4 ,2 ,"Rua Conde de Bonfim, Tijuca"
95000,NA,NA,70,2 ,1 ,3 ,"Campo Grande, Rio de Janeiro"
220000,NA,NA,144,3 ,2 ,1 ,"Rua Elvira da Fonseca, Tanque"
2200000,1230,1109,470,5 ,5 ,5 ,"Barra da Tijuca, Rio de Janeiro"
16000000,1800,18169,894,4 ,7 ,6 ,"Joá, Rio de Janeiro"
1400000,850,4000,230,4 ,5 ,3 ,"Avenida das Américas, Recreio Dos Bandeirantes"
170000,NA,NA,90,3 ,4 ,1 ,"Estrada do Piai, Sepetiba"
1250000,795,250,230,4 ,4 ,3 ,"Avenida das Américas, Recreio Dos Bandeirantes"
295000,NA,68,250,3 ,2 ,4 ,"Realengo, Rio de Janeiro"
260000,NA,NA,74,2 ,1 ,2 ,"Rua Cintra, Penha Circular"
189900,NA,NA,111,2 ,2 ,2 ,"Campo Grande, Rio de Janeiro"
390000,NA,86,121,3 ,3 ,3 ,"Rua Desembargador Gastão Macedo, Praça Seca"
380000,NA,NA,351,4 ,1 ,2 ,"Rua Horácio Wells, Irajá"
298000,NA,NA,80,2 ,2 ,2 ,"Campo Grande, Rio de Janeiro"
300000,NA,NA,180,4 ,2 ,4 ,"Rua Ibotirama, Colégio"
220000,NA,NA,73,2 ,2 ,2 ,"Rua Rio de Contas, Campo Grande"
799990,NA,391,376,3 ,5 ,2 ,"Rua Rugendas, Jacarepaguá"
150000,NA,NA,110,3 ,2 ,1 ,"Rua Frei Damião Berge, Água Santa"
340000,200,NA,120,2 ,3 ,2 ,"Rua José Silva, Pechincha"
